x,y,z,pot
-57.6795,2.0170,-708.4094,0.124381
-56.6826,1.9380,-707.2871,0.124597
-55.6868,1.8587,-706.1652,0.124814
-54.5815,1.7710,-704.9190,0.125054
-53.4775,1.6840,-703.6733,0.125294
-52.3747,1.5977,-702.4282,0.125534
-51.2731,1.5126,-701.1837,0.125774
-50.1723,1.4287,-699.9399,0.126013
-49.0724,1.3456,-698.6970,0.126253
-47.9733,1.2625,-697.4547,0.126492
-46.8752,1.1791,-696.2133,0.126731
-45.7780,1.0958,-694.9727,0.126970
-44.6817,1.0127,-693.7328,0.127209
-43.5862,0.9301,-692.4940,0.127447
-42.4916,0.8484,-691.2560,0.127685
-41.3978,0.7677,-690.0187,0.127924
-40.3048,0.6872,-688.7823,0.128162
-39.2126,0.6071,-687.5469,0.128399
-38.1210,0.5273,-686.3125,0.128637
-37.0302,0.4481,-685.0790,0.128875
-35.9400,0.3687,-683.8464,0.129112
-34.8501,0.2889,-682.6154,0.129349
-33.7603,0.2095,-681.3858,0.129586
-32.6708,0.1316,-680.1576,0.129823
-31.5815,0.0546,-678.9307,0.130059
-30.4923,-0.0225,-677.7053,0.130296
-29.4029,-0.0996,-676.4817,0.130532
-28.3131,-0.1770,-675.2601,0.130768
-27.2229,-0.2545,-674.0403,0.131004
-26.1323,-0.3323,-672.8225,0.131240
-25.0410,-0.4101,-671.6071,0.131475
-23.9486,-0.4863,-670.3943,0.131711
-22.8553,-0.5607,-669.1839,0.131946
-21.7610,-0.6331,-667.9759,0.132181
-20.6659,-0.7045,-666.7701,0.132416
-19.5706,-0.7758,-665.5661,0.132651
-18.4752,-0.8466,-664.3638,0.132885
-17.3796,-0.9169,-663.1633,0.133120
-16.2842,-0.9869,-661.9642,0.133354
-15.1887,-1.0570,-660.7667,0.133588
-14.0931,-1.1273,-659.5712,0.133822
-12.9969,-1.1973,-658.3777,0.134055
-11.9000,-1.2669,-657.1866,0.134289
-10.8020,-1.3359,-655.9981,0.134522
-9.7028,-1.4049,-654.8122,0.134755
-8.6023,-1.4734,-653.6293,0.134988
-7.5001,-1.5422,-652.4495,0.135221
-6.3963,-1.6104,-651.2729,0.135453
-5.2910,-1.6793,-650.0994,0.135686
-4.1837,-1.7472,-648.9296,0.135918
-3.0744,-1.8143,-647.7631,0.136150
-1.9632,-1.8805,-646.6002,0.136382
-0.8502,-1.9471,-645.4406,0.136614
0.2647,-2.0130,-644.2846,0.136845
1.3817,-2.0779,-643.1323,0.137077
2.5007,-2.1415,-641.9835,0.137308
3.6215,-2.2050,-640.8381,0.137539
4.7441,-2.2694,-639.6960,0.137770
5.8684,-2.3345,-638.5575,0.138001
6.9947,-2.4000,-637.4226,0.138231
8.1230,-2.4652,-636.2914,0.138461
9.2531,-2.5303,-635.1638,0.138692
10.3851,-2.5960,-634.0397,0.138922
11.5189,-2.6619,-632.9191,0.139151
12.6545,-2.7278,-631.8019,0.139381
13.7917,-2.7930,-630.6882,0.139611
14.9305,-2.8574,-629.5778,0.139840
16.0706,-2.9211,-628.4703,0.140069
17.2118,-2.9848,-627.3654,0.140298
18.3540,-3.0489,-626.2632,0.140527
19.4971,-3.1131,-625.1638,0.140756
20.6410,-3.1778,-624.0669,0.140984
21.7859,-3.2423,-622.9727,0.141212
22.9316,-3.3077,-621.8807,0.141441
24.0777,-3.3743,-620.7910,0.141669
25.2246,-3.4422,-619.7036,0.141897
26.3721,-3.5106,-618.6187,0.142124
27.5204,-3.5788,-617.5363,0.142352
28.6694,-3.6467,-616.4562,0.142579
29.8192,-3.7150,-615.3784,0.142806
30.9698,-3.7834,-614.3031,0.143033
32.1211,-3.8517,-613.2302,0.143260
33.2732,-3.9202,-612.1597,0.143487
