x_right,z_right,x_left,z_left
-175.4005,-824.8899,-169.1853,-832.5854
-174.1853,-823.9175,-167.9630,-831.5850
-172.9620,-822.9555,-166.7459,-830.5771
-171.7516,-821.9775,-165.5293,-829.5723
-170.5442,-820.9959,-164.3194,-828.5620
-169.3283,-820.0263,-163.1083,-827.5501
-168.1247,-819.0427,-161.8986,-826.5354
-166.9157,-818.0655,-160.6978,-825.5129
-165.7217,-817.0727,-159.4942,-824.4906
-164.5331,-816.0735,-158.2967,-823.4620
-163.3380,-815.0805,-157.1031,-822.4356
-162.1550,-814.0724,-155.9141,-821.4098
-160.9667,-813.0720,-154.7308,-820.3776
-159.7931,-812.0573,-153.5433,-819.3436
-158.6153,-811.0503,-152.3585,-818.3000
-157.4514,-810.0281,-151.1750,-817.2546
-156.2842,-809.0096,-149.9940,-816.2091
-155.1314,-807.9742,-148.8259,-815.1528
-153.9833,-806.9341,-147.6574,-814.0987
-152.8338,-805.8959,-146.4993,-813.0354
-151.6983,-804.8433,-145.3416,-811.9709
-150.5595,-803.7949,-144.1866,-810.9048
-149.4363,-802.7305,-143.0438,-809.8250
-148.3087,-801.6731,-141.8960,-808.7480
-147.1971,-800.5982,-140.7628,-807.6577
-146.0801,-799.5315,-139.6284,-806.5660
-144.9795,-798.4473,-138.5006,-805.4694
-143.8836,-797.3599,-137.3852,-804.3588
-142.7846,-796.2766,-136.2675,-803.2519
-141.6988,-795.1806,-135.1568,-802.1383
-140.6082,-794.0906,-134.0442,-801.0284
-139.5318,-792.9874,-132.9400,-799.9090
-138.4481,-791.8927,-131.8355,-798.7910
-137.3784,-790.7825,-130.7401,-797.6688
-136.2957,-789.6862,-129.6467,-796.5481
-135.2265,-788.5754,-128.5588,-795.4253
-134.1488,-787.4749,-127.4716,-794.3014
-133.0848,-786.3602,-126.3881,-793.1769
-132.0287,-785.2381,-125.3110,-792.0471
-130.9616,-784.1276,-124.2340,-790.9184
-129.9119,-783.0000,-123.1597,-789.7892
-128.8375,-781.8976,-122.0863,-788.6607
-127.7761,-780.7837,-121.0111,-787.5331
-126.7057,-779.6796,-119.9430,-786.3988
-125.6480,-778.5627,-118.8741,-785.2677
-124.6000,-777.4372,-117.8089,-784.1331
-123.5424,-776.3208,-116.7430,-783.0019
-122.5036,-775.1873,-115.6809,-781.8664
-121.4443,-774.0742,-114.6179,-780.7331
-120.3964,-772.9505,-113.5580,-779.5978
-119.3428,-771.8339,-112.4958,-778.4638
-118.2931,-770.7133,-111.4374,-777.3280
-117.2522,-769.5853,-110.3770,-776.1944
-116.2212,-768.4479,-109.3201,-775.0582
-115.1867,-767.3146,-108.2607,-773.9248
-114.1541,-766.1805,-107.2050,-772.7882
-113.1342,-765.0343,-106.1475,-771.6547
-112.1070,-763.8944,-105.0947,-770.5191
-111.0939,-762.7421,-104.0411,-769.3846
-110.0638,-761.6080,-102.9858,-768.2497
-109.0532,-760.4560,-101.9300,-767.1158
-108.0098,-759.3349,-100.8740,-765.9833
-106.9881,-758.1938,-99.8262,-764.8444
-105.9417,-757.0765,-98.7743,-763.7087
-104.8966,-755.9580,-97.7282,-762.5684
-103.8674,-754.8250,-96.6817,-761.4293
-102.8242,-753.7057,-95.6331,-760.2916
-101.7823,-752.5853,-94.5873,-759.1523
-100.7576,-751.4495,-93.5379,-758.0171
-99.7154,-750.3294,-92.4939,-756.8781
-98.6747,-749.2082,-91.4492,-755.7397
-97.6509,-748.0718,-90.4008,-754.6057
-96.6094,-746.9525,-89.3570,-753.4666
-95.5687,-745.8318,-88.3137,-752.3296
-94.5443,-744.6966,-87.2671,-751.1969
-93.5028,-743.5767,-86.2260,-750.0608
-92.4805,-742.4395,-85.1854,-748.9267
-91.4381,-741.3213,-84.1414,-747.7963
-90.3970,-740.2020,-83.1026,-746.6634
-89.3736,-739.0665,-82.0653,-745.5337
-88.3314,-737.9473,-81.0260,-744.4098
-87.2911,-736.8276,-79.9924,-743.2819
-86.2690,-735.6931,-78.9587,-742.1555
-85.2292,-734.5749,-77.9219,-741.0336
-84.1909,-733.4557,-76.8924,-739.9089
-83.1711,-732.3221,-75.8617,-738.7844
-82.1341,-731.2056,-74.8270,-737.6637
-81.0988,-730.0883,-73.7992,-736.5394
-80.0823,-728.9563,-72.7706,-735.4156
-79.0476,-727.8414,-71.7385,-734.2968
-78.0151,-726.7261,-70.7126,-733.1736
-77.0025,-725.5946,-69.6867,-732.0517
-75.9697,-724.4820,-68.6569,-730.9350
-74.9390,-723.3688,-67.6334,-729.8141
-73.9288,-722.2385,-66.6099,-728.6946
-72.8973,-721.1280,-65.5825,-727.5807
-71.8676,-720.0165,-64.5628,-726.4638
-70.8592,-718.8875,-63.5432,-725.3484
-69.8292,-717.7786,-62.5189,-724.2391
-68.8014,-716.6693,-61.5015,-723.1241
-67.7956,-715.5415,-60.4845,-722.0111
-66.7672,-714.4350,-59.4626,-720.9038
-65.7409,-713.3279,-58.4478,-719.7919
-64.7371,-712.2017,-57.4336,-718.6818
-63.7103,-711.0974,-56.4192,-717.5730
-62.6862,-709.9929,-55.4002,-716.4676
-61.6645,-708.8881,-54.3866,-715.3578
-60.6622,-707.7679,-53.3720,-714.2482
-59.6401,-706.6669,-52.3532,-713.1433
-58.6206,-705.5655,-51.3396,-712.0334
-57.6208,-704.4485,-50.3252,-710.9239
-56.4878,-703.2283,-49.1943,-709.6972
-55.3577,-702.0071,-48.0697,-708.4656
-54.2461,-700.7706,-46.9460,-707.2365
-53.1160,-699.5523,-45.8182,-706.0126
-51.9884,-698.3326,-44.6973,-704.7855
-50.8781,-697.0991,-43.5766,-703.5601
-49.7502,-695.8827,-42.4517,-702.3396
-48.6442,-694.6485,-41.3335,-701.1154
-47.5163,-693.4353,-40.2152,-699.8926
-46.3912,-692.2212,-39.0932,-698.6746
-45.2869,-690.9901,-37.9775,-697.4537
-44.1620,-689.7791,-36.8616,-696.2337
-43.0400,-688.5671,-35.7418,-695.0186
-41.9384,-687.3381,-34.6287,-693.8005
-40.8158,-686.1294,-33.5155,-692.5836
-39.6960,-684.9198,-32.3990,-691.3724
-38.5966,-683.6938,-31.2884,-690.1568
-37.4763,-682.4876,-30.1720,-688.9480
-36.3584,-681.2800,-29.0658,-687.7363
-35.2606,-680.0561,-27.9603,-686.5265
-34.1427,-678.8520,-26.8477,-685.3230
-33.0277,-677.6467,-25.7440,-684.1137
-31.9335,-676.4243,-24.6409,-682.9065
-30.8172,-675.2225,-23.5342,-681.7067
-29.7036,-674.0196,-22.4355,-680.5035
-28.6108,-672.7998,-21.3323,-679.3054
